sample	unit	platform	cram
1003380_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1003380_23163_0_0.cram
1004133_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1004133_23163_0_0.cram
1020087_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1020087_23163_0_0.cram
1024095_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1024095_23163_0_0.cram
1028240_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1028240_23163_0_0.cram
1033321_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1033321_23163_0_0.cram
1037878_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1037878_23163_0_0.cram
1052024_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1052024_23163_0_0.cram
1060277_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1060277_23163_0_0.cram
1062339_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1062339_23163_0_0.cram
1068032_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1068032_23163_0_0.cram
1069833_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1069833_23163_0_0.cram
1070914_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1070914_23163_0_0.cram
1074257_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1074257_23163_0_0.cram
1084643_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1084643_23163_0_0.cram
1089824_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1089824_23163_0_0.cram
1095714_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1095714_23163_0_0.cram
1096031_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1096031_23163_0_0.cram
1097807_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1097807_23163_0_0.cram
1099809_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1099809_23163_0_0.cram
1103353_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1103353_23163_0_0.cram
